chain,sample,tissue,histological site, lengthMean, nReads_covering_median
IGH,G35168.GTEX-SNMC-0826-SM-4DM66.1,Bladder,Bladder,11.0,1.0
IGH,G64389.GTEX-13SLW-0326.1,Muscle - Skeletal,Muscle,18.0,1.0
IGH,G26533.GTEX-SIU7-0526-SM-3NM8I.1,Lung,Lung,15.4144427002,1.0
IGH,G18060.GTEX-OXRK-0526-SM-2YUMW.1,Artery - Tibial,Blood Vessel,nan,nan
IGH,G21054.GTEX-T2IS-0011-R5A-SM-32QP4.1,Brain - Caudate (basal ganglia),Brain,nan,nan
IGH,G23375.GTEX-R55D-1026-SM-3GAEQ.1,Artery - Aorta,Blood Vessel,15.3243670886,2.0
IGH,G61792.GTEX-Y8E4-1726.2,Esophagus - Mucosa,Esophagus,14.8076923077,1.0
IGH,G62160.GTEX-13OW7-0126.2,Skin - Sun Exposed (Lower leg),Skin,14.25,1.0
IGH,G25133.GTEX-O5YW-0126-SM-3LK6D.1,Skin - Sun Exposed (Lower leg),Skin,15.75,1.0
IGH,G62070.GTEX-1211K-0006.2,Whole Blood,Blood,14.8538812785,1.0
IGH,G65629.GTEX-P4PP-0226.2,Adipose - Subcutaneous,Adipose Tissue,15.1578947368,1.0
IGH,G33852.GTEX-QDT8-0008-SM-48U2F.3,Cells - Transformed fibroblasts,Skin,15.3333333333,1.0
IGH,G62959.GTEX-13112-0226.3,Testis,Testis,nan,nan
IGH,G26696.GTEX-QDT8-0526-SM-3NMD8.1,Muscle - Skeletal,Muscle,13.0,1.0
IGH,G16726.GTEX-N7MT-0011-R3a.3,Brain - Anterior cingulate cortex (BA24),Brain,13.5,1.0
IGH,G19405.GTEX-S7SE-0926-SM-2XCD6.1,Lung,Lung,16.0713443396,1.0
IGH,G62102.GTEX-13O21-1726.2,Muscle - Skeletal,Muscle,20.0,1.0
IGH,G61217.GTEX-139YR-1526.3,Pancreas,Pancreas,15.1481481481,1.0
IGH,G62459.GTEX-11PRG-0005.2,Whole Blood,Blood,15.5614035088,1.0
IGH,G42494.GTEX-QV31-0826.2,Colon - Transverse,Colon,15.5178807947,1.0
IGH,G41582.GTEX-WY7C-1626.2,Colon - Transverse,Colon,16.1428571429,1.0
IGH,G26614.GTEX-WK11-0926-SM-3NMAU.1,Thyroid,Thyroid,16.5,1.5
IGH,G16761.GTEX-P78B-0426.3,Heart - Left Ventricle,Heart,13.6666666667,1.0
IGH,G64178.GTEX-148VJ-1626.1,Adrenal Gland,Adrenal Gland,14.6666666667,1.0
IGH,G18681.GTEX-R55E-0011-R4A-SM-2TC5H.2,Brain - Amygdala,Brain,16.0,1.0
IGH,G19423.GTEX-SIU8-0926-SM-2XCDO.1,Lung,Lung,15.4338842975,1.0
IGH,G32407.GTEX-QV31-0526-SM-447C3.2,Esophagus - Muscularis,Esophagus,15.5363984674,1.0
IGH,G23308.GTEX-NPJ7-0011-R1a-SM-3GACT.1,Brain - Hippocampus,Brain,nan,nan
IGH,G19454.GTEX-P44H-0011-R10A-SM-2XCEK.2,Brain - Frontal Cortex (BA9),Brain,nan,nan
IGH,G53096.GTEX-11NUK-2626.3,Testis,Testis,16.0,1.5
IGH,G62027.GTEX-13FLV-0011-R4a.2,Brain - Amygdala,Brain,nan,nan
IGH,G46445.GTEX-Y111-2926.1,Pituitary,Pituitary,15.3428571429,1.0
IGH,G60628.GTEX-13OVH-1826.2,Esophagus - Gastroesophageal Junction,Esophagus,15.9230769231,1.0
IGH,G41612.GTEX-WYVS-0004.1,Cells - EBV-transformed lymphocytes,Blood,16.1935483871,1.0
IGH,G46557.GTEX-Y114-2526.2,Muscle - Skeletal,Muscle,17.0,1.0
IGH,G65223.GTEX-147JS-2526.2,Colon - Transverse,Colon,15.436596218,1.0
IGH,G45128.GTEX-NL3G-0226.2,Adipose - Subcutaneous,Adipose Tissue,16.6379310345,1.5
IGH,G63100.GTEX-14ABY-0011-R6a.2,Brain - Nucleus accumbens (basal ganglia),Brain,nan,nan
IGH,G26720.GTEX-X4EO-0326-SM-3P5YO.2,Skin - Sun Exposed (Lower leg),Skin,15.4166666667,1.0
IGH,G32434.GTEX-QVJO-1826-SM-447C9.2,Breast - Mammary Tissue,Breast,14.3181818182,1.0
IGH,G58563.GTEX-11ZTS-0826.2,Artery - Aorta,Blood Vessel,15.0,1.0
IGH,G33690.GTEX-R55G-0008-SM-48FEX.4,Cells - Transformed fibroblasts,Skin,11.0,1.0
IGH,G26776.GTEX-PLZ6-0626-SM-3P61B.2,Esophagus - Muscularis,Esophagus,12.5,1.0
IGH,G34525.GTEX-XUJ4-2826-SM-4BOQ2.7,Artery - Tibial,Blood Vessel,15.1666666667,1.0
IGH,G19399.GTEX-P44G-2326-SM-2XCCZ.1,Adipose - Subcutaneous,Adipose Tissue,11.0,1.0
IGH,G26620.GTEX-X4XX-2926-SM-3NMB1.1,Brain - Cerebellum,Brain,16.1428571429,1.0
IGH,G61920.GTEX-1313W-3226.2,Pituitary,Pituitary,15.2142857143,1.0
IGH,G60830.K-562.2,Cells - Leukemia cell line (CML),Bone Marrow,12.0,1.0
IGH,G34670.GTEX-SE5C-0326-SM-4BRWX.1,Pancreas,Pancreas,15.4285714286,1.0
IGH,G62428.GTEX-13FHO-0926.2,Thyroid,Thyroid,16.5333333333,2.0
IGH,G39740.GTEX-V1D1-0926-SM-4JBHQ.1,Thyroid,Thyroid,17.5,1.0
IGH,G39664.GTEX-UPK5-1226-SM-4IHL8.2,Esophagus - Mucosa,Esophagus,14.5633802817,1.0
IGH,G34336.GTEX-XYKS-2426-SM-4AT43.2,Muscle - Skeletal,Muscle,15.5882352941,1.0
IGH,G19453.GTEX-P44H-2426-SM-2XCEJ.2,Brain - Cerebellum,Brain,15.0,1.0
IGH,G32370.GTEX-QEL4-1326-SM-447AD.2,Pancreas,Pancreas,15.2,1.0
IGH,G62757.GTEX-13PLJ-0011-R5a.3,Brain - Caudate (basal ganglia),Brain,nan,nan
IGH,G26628.GTEX-WHPG-0226-SM-3NMB9.1,Thyroid,Thyroid,15.0,1.0
IGH,G41022.GTEX-WFG8-0001-SM-4LVN8.3,Cells - EBV-transformed lymphocytes,Blood,15.4166666667,1.0
IGH,G53035.GTEX-11I78-0826.3,Heart - Left Ventricle,Heart,16.75,1.0
IGH,G62854.GTEX-12WSH-0011-R6b.3,Brain - Nucleus accumbens (basal ganglia),Brain,16.5,1.0
IGH,G61189.GTEX-Y5V5-2426.3,Adipose - Subcutaneous,Adipose Tissue,15.8333333333,1.0
IGH,G35314.GTEX-U3ZM-0826-SM-4DXU6.7,Bladder,Bladder,15.4,1.0
IGH,G34301.GTEX-XMD1-0826-SM-4AT52.2,Breast - Mammary Tissue,Breast,15.5476190476,1.0
IGH,G64390.GTEX-13QJ3-1726.1,Esophagus - Mucosa,Esophagus,13.85,1.0
IGH,G41589.GTEX-WY7C-2226.1,Testis,Testis,14.0,1.0
IGH,G42508.GTEX-QEG5-0008.2,Cells - Transformed fibroblasts,Skin,14.25,1.0
IGH,G25685.GTEX-O5YW-1526-SM-3MJGL.1,Stomach,Stomach,15.369592089,1.0
IGH,G33654.GTEX-RN64-2326-SM-48FDW.4,Testis,Testis,nan,nan
IGH,G39748.GTEX-V955-0126-SM-4JBH5.1,Adrenal Gland,Adrenal Gland,16.3333333333,1.0
IGH,G19425.GTEX-SIU8-0826-SM-2XCDQ.1,Heart - Left Ventricle,Heart,17.8333333333,1.0
IGH,G64224.GTEX-14753-0726.1,Skin - Not Sun Exposed (Suprapubic),Skin,15.4285714286,1.0
IGH,G33073.GTEX-Q2AG-1326-SM-43V8K.3,Esophagus - Mucosa,Esophagus,15.4540229885,1.0
IGH,G34040.GTEX-S4Z8-0926-SM-4AD6Q.3,Artery - Coronary,Blood Vessel,15.4705882353,1.0
IGH,G34406.GTEX-XPVG-0726-SM-4B658.3,Heart - Atrial Appendage,Heart,15.8,1.0
IGH,G34032.GTEX-S4Q7-1226-SM-4AD5I.3,Testis,Testis,15.3333333333,1.0
